Year,month,sun_hr
1983,11,45.9
1983,12,57.60000000000001
1984,1,91.1
1984,2,72.00000000000001
1984,3,45.199999999999996
1984,4,233.40000000000003
1984,5,136.3
1984,6,241.9
1984,7,228.30000000000004
1984,8,200.89999999999998
1984,9,99.99999999999999
1984,10,93.19999999999999
1984,11,50.3
1984,12,48.199999999999996
1985,1,42.8
1985,2,82.3
1985,3,98.29999999999998
1985,4,143.9
1985,5,162.69999999999996
1985,6,164.7
1985,7,221.10000000000002
1985,8,181.29999999999998
1985,9,133.70000000000002
1985,10,109.60000000000001
1985,11,81.0
1985,12,38.2
1986,1,73.2
1986,2,66.89999999999999
1986,3,123.4
1986,4,121.30000000000003
1986,5,176.0
1986,6,224.79999999999995
1986,7,187.29999999999998
1986,8,151.00000000000003
1986,9,169.7
1986,10,120.7
1986,11,67.90000000000002
1986,12,53.40000000000001
1987,1,60.49999999999999
1987,2,57.7
1987,3,95.49999999999999
1987,4,147.40000000000003
1987,5,194.80000000000007
1987,6,120.00000000000001
1987,7,173.90000000000006
1987,8,149.00000000000003
1987,9,142.19999999999996
1987,10,123.9
1987,11,43.99999999999999
1987,12,29.2
1988,1,50.89999999999999
1988,2,109.19999999999999
1988,3,91.00000000000001
1988,4,129.59999999999997
1988,5,181.5
1988,6,153.49999999999994
1988,7,159.2
1988,8,201.49999999999997
1988,9,139.90000000000003
1988,10,106.10000000000002
1988,11,82.00000000000001
1988,12,38.5
1989,1,64.10000000000001
1989,2,92.39999999999999
1989,3,104.0
1989,4,133.50000000000003
1989,5,297.3
1989,6,253.70000000000002
1989,7,281.9
1989,8,272.69999999999993
1989,9,122.40000000000002
1989,10,106.4
1989,11,113.1
1989,12,26.1
1990,1,61.00000000000001
1990,2,94.69999999999997
1990,3,150.30000000000004
1990,4,227.79999999999998
1990,5,264.3999999999999
1990,6,129.89999999999998
1990,7,267.9
1990,8,249.5
1990,9,155.0
1990,10,129.3
1990,11,59.400000000000006
1990,12,50.699999999999996
1991,1,75.80000000000001
1991,2,62.99999999999999
1991,3,94.9
1991,4,152.9
1991,5,130.8
1991,6,127.99999999999997
1991,7,218.89999999999998
1991,8,239.59999999999997
1991,9,184.29999999999998
1991,10,92.0
1991,11,60.2
1991,12,60.199999999999996
1992,1,56.49999999999999
1992,2,61.99999999999999
1992,3,63.49999999999999
1992,4,132.59999999999997
1992,5,275.0
1992,6,214.4
1992,7,148.20000000000002
1992,8,162.39999999999998
1992,9,130.10000000000002
1992,10,110.8
1992,11,61.500000000000014
